title_name,title_nutrient
미에로화이바,1개 (210ml)당 - 칼로리: 85kcal | 지방: 0.00g | 탄수화물: 20.00g | 단백질: 0.00g
오리지널 매실,1캔 (180ml)당 - 칼로리: 100kcal | 지방: 0.00g | 탄수화물: 25.00g | 단백질: 0.00g
조이 오렌지 (240ml),1캔 (240ml)당 - 칼로리: 56kcal | 지방: 0.00g | 탄수화물: 14.00g | 단백질: 0.00g
코코포도,1캔 (240ml)당 - 칼로리: 65kcal | 지방: 0.00g | 탄수화물: 16.00g | 단백질: 0.00g
1/2 칼로리 살구,1회 (170ml)당 - 칼로리: 35kcal | 지방: 0.00g | 탄수화물: 8.00g | 단백질: 0.00g
아침에사과,1병 (180ml)당 - 칼로리: 108kcal | 지방: 0.00g | 탄수화물: 27.00g | 단백질: 0.00g
허니유자,1회 (280ml)당 - 칼로리: 140kcal | 지방: 0.00g | 탄수화물: 35.00g | 단백질: 0.00g
태양의 마테차,100ml당 - 칼로리: 0kcal | 지방: 0.00g | 탄수화물: 0.00g | 단백질: 0.00g
포도100(자연은),1인분 (180ml)당 - 칼로리: 90kcal | 지방: 0.00g | 탄수화물: 23.00g | 단백질: 0.00g
웰치스 스트로베리,1인분 (355ml)당 - 칼로리: 192kcal | 지방: 0.00g | 탄수화물: 48.00g | 단백질: 0.00g
포도스퀴즈,1캔 (240ml)당 - 칼로리: 65kcal | 지방: 0.00g | 탄수화물: 16.00g | 단백질: 0.00g
프리미엄 포도 Ca,1컵 (200ml)당 - 칼로리: 116kcal | 지방: 0.00g | 탄수화물: 29.00g | 단백질: 0.00g
파워오투 애플키위향,1인분 (500ml)당 - 칼로리: 78kcal | 지방: 0.00g | 탄수화물: 19.00g | 단백질: 0.00g
스위티에이드,1병 (350ml)당 - 칼로리: 156kcal | 지방: 0.00g | 탄수화물: 39.00g | 단백질: 0.00g
이프로 아쿠아,1회 (250ml)당 - 칼로리: 65kcal | 지방: 0.00g | 탄수화물: 16.00g | 단백질: 0.00g
망고,1캔 (240ml)당 - 칼로리: 80kcal | 지방: 0.00g | 탄수화물: 20.00g | 단백질: 0.00g
마일드 워터,1병 (500ml)당 - 칼로리: 135kcal | 지방: 0.00g | 탄수화물: 13.00g | 단백질: 0.00g
코코리치 망고,1인분 (340ml)당 - 칼로리: 110kcal | 지방: 0.00g | 탄수화물: 27.00g | 단백질: 0.00g
파워에이드 에너지펀치,1컵 (200ml)당 - 칼로리: 24kcal | 지방: 0.00g | 탄수화물: 6.00g | 단백질: 0.00g
에이치포인트V,1인분 (350ml)당 - 칼로리: 120kcal | 지방: 0.00g | 탄수화물: 30.00g | 단백질: 0.00g
스파클링 파인애플,1인분 (355ml)당 - 칼로리: 110kcal | 지방: 0.00g | 탄수화물: 27.00g | 단백질: 0.00g
쏠+,1캔 (250ml)당 - 칼로리: 105kcal | 지방: 0.00g | 탄수화물: 25.00g | 단백질: 0.00g
내사랑 유자C,1병 (280ml)당 - 칼로리: 150kcal | 지방: 0.00g | 탄수화물: 35.00g | 단백질: 0.00g
아마존시크릿 아사이베리,1컵 (250ml)당 - 칼로리: 30kcal | 지방: 0.00g | 탄수화물: 7.00g | 단백질: 0.00g
스파클링 비타민C,1인분 (140ml)당 - 칼로리: 65kcal | 지방: 0.00g | 탄수화물: 15.00g | 단백질: 0.00g
훼미리 매실,1회 (180ml)당 - 칼로리: 96kcal | 지방: 0.00g | 탄수화물: 24.00g | 단백질: 0.00g
꿀홍삼 (230ml),1병 (230ml)당 - 칼로리: 175kcal | 지방: 0.00g | 탄수화물: 44.00g | 단백질: 0.00g
고마워 감귤씨C,1인분 (135ml)당 - 칼로리: 70kcal | 지방: 0.00g | 탄수화물: 16.00g | 단백질: 1.00g
사과&크렌베리,1병 (300ml)당 - 칼로리: 136kcal | 지방: 0.00g | 탄수화물: 34.00g | 단백질: 0.00g
세상에 없는 루이보스,1캔 (240ml)당 - 칼로리: 15kcal | 지방: 1.70g | 탄수화물: 13.00g | 단백질: 0.00g
꿀물,1병 (180ml)당 - 칼로리: 84kcal | 지방: 0.00g | 탄수화물: 21.00g | 단백질: 0.00g
갈배사이다,1인분 (500ml)당 - 칼로리: 236kcal | 지방: 0.00g | 탄수화물: 59.00g | 단백질: 0.00g
과일사이다 파인애플,1인분 (380ml)당 - 칼로리: 192kcal | 지방: 0.00g | 탄수화물: 48.00g | 단백질: 0.00g
포도드링크,1인분 (240ml)당 - 칼로리: 60kcal | 지방: 0.00g | 탄수화물: 15.00g | 단백질: 0.00g
허니레몬배,1인분 (280ml)당 - 칼로리: 150kcal | 지방: 0.00g | 탄수화물: 38.00g | 단백질: 0.00g
세븐업,1캔 (250ml)당 - 칼로리: 115kcal | 지방: 0.00g | 탄수화물: 29.00g | 단백질: 0.00g
유기농 콤부차,1인분 (315ml)당 - 칼로리: 69kcal | 지방: 0.00g | 탄수화물: 6.00g | 단백질: 0.00g
듬뿍복숭아,100ml당 - 칼로리: 40kcal | 지방: 0.00g | 탄수화물: 10.00g | 단백질: 0.00g
칠성사이다 (300ml),1펫 (300ml)당 - 칼로리: 130kcal | 지방: 0.00g | 탄수화물: 32.00g | 단백질: 0.00g
활력비타,1인분 (100ml)당 - 칼로리: 110kcal | 지방: 0.00g | 탄수화물: 27.00g | 단백질: 0.00g
캐나다 드라이 진저에일,1캔 (250ml)당 - 칼로리: 80kcal | 지방: 0.00g | 탄수화물: 20.00g | 단백질: 0.00g
환타 포도향,1캔 (355ml)당 - 칼로리: 112kcal | 지방: 0.00g | 탄수화물: 28.00g | 단백질: 0.00g
얼라이브,1병 (350ml)당 - 칼로리: 131kcal | 지방: 0.00g | 탄수화물: 32.00g | 단백질: 0.80g
바이오티 애플소다,100ml당 - 칼로리: 10kcal | 지방: 0.00g | 탄수화물: 4.00g | 단백질: 0.00g
태양의 마테차,1회 (250ml)당 - 칼로리: 0kcal | 지방: 0.00g | 탄수화물: 0.00g | 단백질: 0.00g
콤부차,1인분 (315ml)당 - 칼로리: 69kcal | 지방: 0.00g | 탄수화물: 6.00g | 단백질: 0.00g
코카콜라 (250ml),1인분 (250ml)당 - 칼로리: 112kcal | 지방: 0.00g | 탄수화물: 28.00g | 단백질: 0.00g
슈웹스 레몬토닉,1병 (350ml)당 - 칼로리: 136kcal | 지방: 0.00g | 탄수화물: 34.00g | 단백질: 0.00g
파워에이드 스파클링,1인분 (355ml)당 - 칼로리: 60kcal | 지방: 0.00g | 탄수화물: 14.00g | 단백질: 1.00g
파워에이드 마운틴 블라스트 (200ml),1컵 (200ml)당 - 칼로리: 20kcal | 지방: 0.00g | 탄수화물: 5.00g | 단백질: 0.00g
포레스트 콜드브루,1잔 (591ml)당 - 칼로리: 385kcal | 지방: 10.00g | 탄수화물: 44.00g | 단백질: 12.00g
5얼라이브,1병 (350ml)당 - 칼로리: 131kcal | 지방: 0.00g | 탄수화물: 32.00g | 단백질: 0.80g
아임리얼 시트러스러브,1회 (190ml)당 - 칼로리: 80kcal | 지방: 0.00g | 탄수화물: 20.00g | 단백질: 1.00g
밀키스 요하이 워터,1회 (500ml)당 - 칼로리: 155kcal | 지방: 0.00g | 탄수화물: 38.00g | 단백질: 1.00g
모과생강,1병 (280ml)당 - 칼로리: 152kcal | 지방: 0.00g | 탄수화물: 38.00g | 단백질: 0.00g
맥콜 (160ml),1캔 (160ml)당 - 칼로리: 75kcal | 지방: 0.00g | 탄수화물: 19.00g | 단백질: 0.00g
비타민 워터 바이탈브이,1회 (250ml)당 - 칼로리: 40kcal | 지방: 0.00g | 탄수화물: 10.00g | 단백질: 0.00g
클라우드 클리어 제로,1캔 (350ml)당 - 칼로리: 30kcal | 지방: 0.00g | 탄수화물: 7.00g | 단백질: 0.00g
본 오미자,1회 (35g)당 - 칼로리: 87kcal | 지방: 0.00g | 탄수화물: 21.79g | 단백질: 0.00g
스파클링 오렌지,1캔 (345ml)당 - 칼로리: 164kcal | 지방: 0.00g | 탄수화물: 41.00g | 단백질: 0.00g
코카콜라(M),1잔 (310ml)당 - 칼로리: 143kcal | 지방: 0.00g | 탄수화물: 35.54g | 단백질: 0.00g
코카콜라(L),1잔 (430ml)당 - 칼로리: 198kcal | 지방: 0.00g | 탄수화물: 45.00g | 단백질: 0.00g
제주감귤,1인분 (175ml)당 - 칼로리: 45kcal | 지방: 0.00g | 탄수화물: 11.00g | 단백질: 0.00g
레몬녹차,100ml당 - 칼로리: 35kcal | 지방: 0.00g | 탄수화물: 8.00g | 단백질: 0.00g
뷰핏 스파클링타임 플레인,1병 (350ml)당 - 칼로리: 0kcal | 지방: 0.00g | 탄수화물: 0.00g | 단백질: 0.00g
코코넛우유,1컵 (200ml)당 - 칼로리: 140kcal | 지방: 4.40g | 탄수화물: 21.00g | 단백질: 4.00g
Butter Coffee,1컵 (250ml)당 - 칼로리: 185kcal | 지방: 19.00g | 탄수화물: 1.80g | 단백질: 2.00g
써니텐 파인애플향,1컵 (200ml)당 - 칼로리: 108kcal | 지방: 0.00g | 탄수화물: 27.00g | 단백질: 0.00g
